,X,Y,Z,Clusters,Cells
0,1017.3484848484848,468.6363636363636,127.27272727272727,8,Unknown
1,969.3666666666668,441.6333333333333,128.0,8,Unknown
2,925.3636363636364,528.5,127.27272727272727,1,Unknown
3,915.0719424460432,566.043165467626,126.73381294964028,1,Unknown
4,912.1282051282052,529.8717948717949,128.0,8,Unknown
5,899.625,629.84375,128.0,8,Unknown
6,899.0747663551402,476.95327102803736,126.61682242990656,8,Unknown
7,897.3965517241379,509.4051724137931,126.6896551724138,8,Unknown
8,889.1395348837209,480.6046511627907,126.66666666666667,8,Unknown
9,888.7272727272727,632.1515151515151,128.0,8,Unknown
10,883.1927710843373,449.51807228915663,126.8433734939759,8,Unknown
11,882.7886178861788,435.5284552845528,126.56910569105689,8,Unknown
12,875.8506493506494,638.9285714285714,126.83116883116884,12,MMP9 High cells
13,875.9886363636364,622.7727272727273,127.0,2,Potentially fibroblasts (fibronectin)
14,875.047619047619,432.6984126984127,127.17460317460318,8,Unknown
15,872.4814814814815,420.1111111111111,128.0,8,Unknown
16,865.7111111111111,619.1333333333333,128.0,3,Unknown
17,862.2717391304348,654.6739130434783,126.7391304347826,12,MMP9 High cells
18,861.02,630.08,128.0,12,MMP9 High cells
19,860.9230769230769,556.3461538461538,127.48717948717949,1,Unknown
20,860.7021276595744,543.2978723404256,128.0,5,Unknown
21,855.2783505154639,659.8453608247422,126.76288659793815,12,MMP9 High cells
22,853.1641791044776,629.2835820895523,127.40298507462688,12,MMP9 High cells
23,853.3595505617977,609.2471910112359,126.69662921348315,1,Unknown
24,851.0,400.5,128.0,8,Unknown
25,850.4265734265734,648.6013986013986,127.41258741258741,7,Unknown
26,848.4464285714286,636.8928571428571,127.21428571428571,1,Unknown
27,845.3703703703703,643.1111111111111,128.0,7,Unknown
28,844.4102564102565,462.0512820512821,126.87179487179488,8,Unknown
29,842.258064516129,609.6774193548387,128.0,5,Unknown
30,838.6587301587301,672.4920634920635,126.47619047619048,5,Unknown
31,838.1904761904761,591.7047619047619,126.62857142857143,1,Unknown
32,832.8285714285714,640.4666666666667,127.27619047619048,7,Unknown
33,833.5384615384615,602.3516483516484,127.47252747252747,17,Cytotoxic T cells (CD8a)
34,831.2307692307693,683.7692307692307,128.0,1,Unknown
35,831.1607142857143,479.75,128.0,1,Unknown
36,829.9019607843137,630.7450980392157,128.0,7,Unknown
37,827.5192307692307,456.5384615384616,128.0,1,Unknown
38,827.5,439.36,128.0,7,Unknown
39,826.3913043478261,678.6231884057971,127.18840579710145,8,Unknown
40,825.7796610169491,580.5932203389831,128.0,10,"Potentially breast cancer (PanCK, GATA3)"
41,822.9333333333333,570.0,128.0,1,Unknown
42,821.0945945945946,381.7567567567568,127.29729729729729,1,Unknown
43,818.6538461538462,669.6282051282051,126.97435897435898,8,Unknown
44,819.3577981651376,600.954128440367,126.56880733944953,7,Unknown
45,817.1782178217821,503.53465346534654,127.48514851485149,1,Unknown
46,817.2407407407408,573.3333333333334,128.0,5,Unknown
47,814.2077922077922,626.987012987013,127.58441558441557,1,Unknown
48,814.8695652173913,613.6304347826087,128.0,5,Unknown
49,815.5205479452055,444.958904109589,127.45205479452055,7,Unknown
50,815.0428571428571,337.17857142857144,126.65714285714286,8,Unknown
51,810.7954545454545,434.1136363636364,128.0,8,Unknown
52,810.2935779816514,655.6238532110092,125.94495412844037,12,MMP9 High cells
53,809.5714285714286,644.6071428571429,125.0204081632653,7,Unknown
54,810.3421052631579,600.6052631578947,128.0,1,Unknown
55,809.9826086956522,473.3478260869565,126.71304347826086,1,Unknown
56,808.3928571428571,583.125,128.0,1,Unknown
57,804.6938775510204,651.6122448979592,128.0,12,MMP9 High cells
58,804.1891891891892,398.4324324324325,128.0,8,Unknown
59,803.6521739130435,563.6304347826087,128.0,1,Unknown
60,803.05,556.1666666666666,128.0,4,Potentially fibroblasts (fibronectin)
61,802.5593220338983,498.3728813559322,128.0,1,Unknown
62,800.3928571428571,638.9404761904761,127.04761904761905,7,Unknown
63,799.5777777777778,522.4666666666667,128.0,1,Unknown
64,799.1521739130435,596.3695652173913,128.0,5,Unknown
65,799.0869565217391,574.195652173913,128.0,1,Unknown
66,795.639344262295,667.9508196721312,127.34426229508196,0,Some T cells (CD3)
67,794.9264705882352,620.5882352941177,128.0,7,Unknown
68,794.5172413793103,577.9827586206897,126.48275862068965,1,Unknown
69,793.5,460.5243902439024,128.0,1,Unknown
70,792.1145833333334,358.9270833333333,127.16666666666667,8,Unknown
71,790.948275862069,645.2413793103449,127.44827586206895,0,Some T cells (CD3)
72,791.04,505.8,128.0,1,Unknown
73,790.0,628.7674418604652,128.0,1,Unknown
74,791.4424778761062,551.787610619469,127.00884955752213,7,Unknown
75,791.4083769633507,427.0471204188482,124.8586387434555,12,MMP9 High cells
76,788.4044117647059,661.6176470588235,124.44117647058822,0,Some T cells (CD3)
77,789.5131578947369,527.6973684210526,127.57894736842105,1,Unknown
78,785.5492957746479,581.8169014084507,126.53521126760563,1,Unknown
79,785.1052631578947,561.2631578947369,127.29824561403508,5,Unknown
80,786.2,611.3333333333334,128.0,5,Unknown
81,784.8870967741935,497.53225806451616,128.0,1,Unknown
82,784.8656716417911,476.44776119402985,127.52238805970148,7,Unknown
83,783.7777777777778,620.2222222222222,127.30158730158729,1,Unknown
84,783.8717948717949,574.1282051282051,128.0,1,Unknown
85,777.7567567567568,635.918918918919,128.0,0,Some T cells (CD3)
86,777.7567567567568,626.8648648648649,127.45945945945945,0,Some T cells (CD3)
87,777.0545454545454,605.1090909090909,127.34545454545456,7,Unknown
88,777.1818181818181,513.2727272727273,128.0,1,Unknown
89,776.5777777777778,491.2,128.0,1,Unknown
90,776.0,619.3235294117648,128.0,0,Some T cells (CD3)
91,773.0,589.4444444444445,128.0,1,Unknown
92,773.3243243243244,538.1621621621622,128.0,7,Unknown
93,773.3684210526316,403.10526315789474,127.01754385964912,1,Unknown
94,770.8987341772151,670.2278481012659,126.88607594936708,0,Some T cells (CD3)
95,771.605504587156,415.2201834862385,126.86238532110092,1,Unknown
96,770.421052631579,505.578947368421,128.0,2,Potentially fibroblasts (fibronectin)
97,768.8181818181819,613.4,128.0,5,Unknown
98,768.4675324675325,542.7922077922078,127.01298701298703,1,Unknown
99,767.9433962264151,481.8301886792453,127.32075471698111,5,Unknown
100,765.9252336448598,683.5140186915888,126.57943925233644,0,Some T cells (CD3)
101,767.1371428571429,600.7428571428571,126.42285714285714,5,Unknown
102,765.671052631579,567.1315789473684,127.36842105263156,5,Unknown
103,761.3461538461538,663.6538461538462,128.0,0,Some T cells (CD3)
104,761.8648648648649,533.081081081081,128.0,2,Potentially fibroblasts (fibronectin)
105,761.2222222222222,578.3611111111111,128.0,5,Unknown
106,761.5568181818181,495.09090909090907,127.31818181818181,1,Unknown
